WL,primary R,Randomization 1 ,Randomization 2,Randomization 3,Randomization 4,Afirst,Afront,Aback,alpha cSi,n,alpha aSi,AM1.5g(l2)
1100,1,1.3,0.08,2,0.08,0.00459281,0.009164525,0.082107891,350,3.54675,470,4.9844
1110,1,1.3,0.08,2,0.08,0.00449531,0.008970412,0.085004257,270,3.54412037,460,3.75171
1120,1,1.3,0.08,2,0.08,0.004397801,0.008776262,0.087664646,200,3.541523148,450,1.402264
1130,1,1.3,0.08,2,0.08,0.004300283,0.008582073,0.091482462,150,3.538925926,440,1.224769
1140,1,1.3,0.08,2,0.08,0.004202755,0.008387846,0.094330919,100,3.536328704,430,2.16368
1150,1,1.3,0.08,2,0.08,0.004105217,0.008193581,0.097211024,68,3.533731481,420,1.972906
1160,1,1.3,0.08,2,0.08,0.00400767,0.007999279,0.100414692,42,3.531134259,410,3.4872
1170,1,1.3,0.08,2,0.08,0.003910113,0.007804938,0.104065209,22,3.528537037,400,4.23515
1180,1,1.3,0.08,2,0.08,0.003812547,0.007610559,0.106881301,6.5,3.525939815,390,4.27782
1190,1,1.3,0.08,2,0.08,0.003714971,0.007416141,0.110200969,3.6,3.523342593,380,4.43618
1200,1,1.3,0.08,2,0.08,0.003617386,0.007221686,0.113692699,2.2,3.52074537,370,4.26325
